,Unnamed: 0,author,year,title,blob,vader,afinn,blob_zscore,vader_zscore,afinn_zscore,blob_zscore_outliers,vader_zscore_outliers,afinn_zscore_outliers,co2,co2_per_capita,co2_growth_prct,co2_growth_abs,cumulative_co2,coal_co2,cumulative_coal_co2,coal_co2_per_capita,gdp
0,0,aaditya,2012,Climate responsive.txt,0.0478546194141269,0.0618867305061559,0.033935413245758,1.6612675381528632,0.1924953533722644,1.1537302058311358,1.6612675381528632,0.1924953533722644,1.1537302058311358,34974.075,4.908,1.47,505.624,1410676.204,14949.697,671456.267,2.098,
1,1,abdel,2013,Ski.txt,0.0412998035914702,0.072724074074074,0.0326452232357177,1.2037948588129477,0.5142912795951913,1.0655953415395865,1.2037948588129477,0.5142912795951913,1.0655953415395865,35283.025,4.893,0.88,308.95,1445959.229,15042.88,686499.147,2.086,
2,2,abdul,2012,Mod.txt,0.0235666437939165,0.04419324009324,0.0025589991470002,-0.0338350525736149,-0.3328818389127393,-0.9896409077484708,-0.0338350525736149,-0.3328818389127393,-0.9896409077484708,34974.075,4.908,1.47,505.624,1410676.204,14949.697,671456.267,2.098,
3,3,abo,2012,Microaerobic.txt,0.0241273588870676,0.0587376699029126,0.0192539109506618,0.0052982873935477,0.0989895170755658,0.1508141994252998,0.0052982873935477,0.0989895170755658,0.1508141994252998,34974.075,4.908,1.47,505.624,1410676.204,14949.697,671456.267,2.098,
4,4,Abu,2009,compression.txt,0.0203683434298759,0.0106885448916408,-0.0231996133397776,-0.2570503306923627,-1.327745050330397,-2.749251351321646,-0.2570503306923627,-1.327745050330397,,31607.042,4.599,-1.44,-462.402,1307890.377,13067.147,627754.514,1.901,
5,5,afonso,2013,Tracer gas.txt,0.0287027068283011,0.0531611727416798,0.0239777136603323,0.3246202543592246,-0.0665947940457217,0.4735044291720306,0.3246202543592246,-0.0665947940457217,0.4735044291720306,35283.025,4.893,0.88,308.95,1445959.229,15042.88,686499.147,2.086,
6,6,afrasiabian,2019,analysis.txt,0.0178985966903704,0.0424970437017994,0.0201249132546842,-0.4294185083469213,-0.3832474183943615,0.2103137066802347,-0.4294185083469213,-0.3832474183943615,0.2103137066802347,36702.503,4.758,0.15,56.363,1661716.918,14573.219,774385.946,1.889,
7,7,agrawal,2011,Flow characteristics.txt,0.0277026689823132,0.0035189723320158,0.002749518834204,0.2548257696287629,-1.5406329437507804,-0.976626214838204,0.2548257696287629,-1.5406329437507804,-0.976626214838204,34468.451,4.895,3.37,1125.151,1375702.128,14781.225,656506.57,2.099,
8,8,agrawal,2012,Study.txt,0.0277761367061208,0.0116349683544303,0.008066184074457,0.2599532175029081,-1.2996426640861294,-0.6134366336240025,0.2599532175029081,-1.2996426640861294,-0.6134366336240025,34974.075,4.908,1.47,505.624,1410676.204,14949.697,671456.267,2.098,
9,9,agyeni,2012,Experimenta.txt,0.00904516287495,0.0431130023640662,0.0149837133550488,-1.047315974649405,-0.3649576053053001,-0.140889567197169,-1.047315974649405,-0.3649576053053001,-0.140889567197169,34974.075,4.908,1.47,505.624,1410676.204,14949.697,671456.267,2.098,
10,10,ahmad,2016,Investigation of the ef.txt,0.009939626221101,0.0900966426858513,0.0101849370142053,-0.9848897288774564,1.0301392613688432,-0.4687013610216433,-0.9848897288774564,1.0301392613688432,-0.4687013610216433,35452.459,4.75,-0.12,-43.947,1552442.538,14360.628,730640.879,1.924,107000000000000.0
11,11,ahmadi,2016,Applying.txt,0.0229510192291821,0.063689774696707,0.0312093628088426,-0.076800625782103,0.2460335910116863,0.967509506988533,-0.076800625782103,0.2460335910116863,0.967509506988533,35452.459,4.75,-0.12,-43.947,1552442.538,14360.628,730640.879,1.924,107000000000000.0
