,Unnamed: 0,author,year,title,Big_numbers,Small_numbers,big-small-ratio,co2,co2_growth_prct,co2_growth_abs,co2_per_capita,cumulative_co2,coal_co2,coal_co2_per_capita,cumulative_coal_co2
0,0,aaditya,2012,Climate responsive.txt,0,4,-1.0,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
1,1,abdel,2013,Ski.txt,1,3,-0.5,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
2,2,abdul,2012,Mod.txt,4,1,0.6,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
3,3,abo,2012,Microaerobic.txt,0,6,-1.0,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
4,4,Abu,2009,compression.txt,0,2,-1.0,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
5,5,afonso,2013,Tracer gas.txt,4,27,-0.7419354838709677,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
6,6,afrasiabian,2019,analysis.txt,0,6,-1.0,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
7,7,agrawal,2011,Flow characteristics.txt,0,12,-1.0,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
8,8,agrawal,2012,Study.txt,0,7,-1.0,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
9,9,agyeni,2012,Experimenta.txt,2,16,-0.7777777777777778,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
10,10,ahmad,2016,Investigation of the ef.txt,0,9,-1.0,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
11,11,ahmadi,2016,Applying.txt,0,8,-1.0,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
12,12,ahmadi,2016,Thermodynamic anal.txt,1,6,-0.7142857142857143,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
13,13,ahmadi,2020,Portfolio optimization.txt,0,21,-1.0,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
14,14,ahmed,2018,Design methodology.txt,0,7,-1.0,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
15,15,Ajay,2009,simultaneous.txt,3,20,-0.7391304347826086,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
16,16,akyuz,2010,Energetic.txt,3,8,-0.4545454545454545,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
17,17,alamier,2020, Synthesi.txt,0,4,-1.0,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
18,18,alayietal,2020,Energy.txt,0,2,-1.0,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
19,19,alayietal,2020,Technical and environmental.txt,4,3,0.1428571428571428,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
20,20,aldali,2011,energetic.txt,3,12,-0.6,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
21,21,aldali,2011,Solar absorber tube analysis.txt,0,16,-1.0,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
22,22,aleknaviciute,2012,Plasma assis.txt,0,4,-1.0,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
23,23,aleknaviviute,2016,Towards clean.txt,1,8,-0.7777777777777778,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
24,24,alexander,2013,solid sorption.txt,1,21,-0.9090909090909092,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
25,25,ali ahmadi,2016,Modeling solubility of carb.txt,1,12,-0.8461538461538461,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
26,26,alkhalidi etal,2019,Energy efficient cooling.txt,0,14,-1.0,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
27,27,alkhalidi etal,2020,Using Wood.txt,3,14,-0.6470588235294118,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
28,28,alkhalidi,2020, Do green buildings.txt,9,9,0.0,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
29,29,Allison,2014,thermal energy storage.txt,8,8,0.0,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
30,30,alm,2020,Quantum chemica.txt,1,0,1.0,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
31,31,almosawi,2020,Synergistic effect of.txt,0,6,-1.0,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
32,32,almutairi etal,2011,Cycling durability studies.txt,3,10,-0.5384615384615384,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
33,33,alqahtani,2019,The effect.txt,0,11,-1.0,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
34,34,alqahtani,2020,Building enve.txt,2,4,-0.3333333333333333,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
35,35,alsallal,2010,Daylighting and visual performance.txt,4,8,-0.3333333333333333,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
36,36,alsallal,2018,Daylighting performan.txt,0,6,-1.0,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
37,37,altan etal,2019,An experimental study roof.txt,1,17,-0.8888888888888888,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
38,38,alwetaishi,2019,Sustainable ap.txt,1,14,-0.8666666666666667,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
39,39,alyousef and varnham,2010,Saudi Arabia.txt,2,4,-0.3333333333333333,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
40,40,Amanda Sabo,2016,impacts and response.txt,9,69,-0.7692307692307693,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
41,41,Amanda,2016,Water Sensitive Planning Practices.txt,2,34,-0.8888888888888888,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
42,42,amhadi and assaf,2019,Assessment.txt,1,10,-0.8181818181818182,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
43,43,An etal,2014,Efficiency of household.txt,6,12,-0.3333333333333333,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
44,44,ana etal,2010,Performance simulation.txt,0,3,-1.0,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
45,45,ana etal,2019,Energy assessment.txt,0,11,-1.0,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
46,46,Andrea and Francis,2020,tropical climate.txt,0,28,-1.0,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
47,47,anestopoulou etal,2016,On the development.txt,0,4,-1.0,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
48,48,angrisani etal,2013,the influence of cooling air.txt,2,20,-0.8181818181818182,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
49,49,annadurai etal,2018,Experimental.txt,0,5,-1.0,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
50,50,Aprea etal,2012,exergy an.txt,0,8,-1.0,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
51,51,Arif etal,2012,exergy analysis.txt,0,1,-1.0,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
52,52,arslan,2013,Characterization.txt,2,4,-0.3333333333333333,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
53,53,ascione etal,2016,Design.txt,4,19,-0.6521739130434783,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
54,54,ashley,2016,direct absorbing.txt,0,4,-1.0,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
