,author,year,title,blob,vader,afinn,blob_zscore,vader_zscore,afinn_zscore,blob_zscore_outliers,vader_zscore_outliers,afinn_zscore_outliers,co2,co2_growth_prct,co2_growth_abs,co2_per_capita,cumulative_co2,coal_co2,coal_co2_per_capita,cumulative_coal_co2
0,aaditya,2012,Climate responsive.txt,0.047854619,0.061886731,0.033935413,1.661267538,0.192495353,1.153730206,1.661267538,0.192495353,1.153730206,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
1,abdel,2013,Ski.txt,0.041299804,0.072724074,0.032645223,1.203794859,0.51429128,1.065595342,1.203794859,0.51429128,1.065595342,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
2,abdul,2012,Mod.txt,0.023566644,0.04419324,0.002558999,-0.033835053,-0.332881839,-0.989640908,-0.033835053,-0.332881839,-0.989640908,35496.406,-0.11,-38.037,4.81,1516990.078,14718.203,1.994,716280.251
3,abo,2012,Microaerobic.txt,0.024127359,0.05873767,0.019253911,0.005298287,0.098989517,0.150814199,0.005298287,0.098989517,0.150814199,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
4,Abu,2009,compression.txt,0.020368343,0.010688545,-0.023199613,-0.257050331,-1.32774505,-2.749251351,-0.257050331,-1.32774505,,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
5,afonso,2013,Tracer gas.txt,0.028702707,0.053161173,0.023977714,0.324620254,-0.066594794,0.473504429,0.324620254,-0.066594794,0.473504429,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
6,afrasiabian,2019,analysis.txt,0.017898597,0.042497044,0.020124913,-0.429418508,-0.383247418,0.210313707,-0.429418508,-0.383247418,0.210313707,31493.742,2.98,910.212,4.696,1244213.89,12811.338,1.91,601452.662
7,agrawal,2011,Flow characteristics.txt,0.027702669,0.003518972,0.002749519,0.25482577,-1.540632944,-0.976626215,0.25482577,-1.540632944,-0.976626215,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
8,agrawal,2012,Study.txt,0.027776137,0.011634968,0.008066184,0.259953218,-1.299642664,-0.613436634,0.259953218,-1.299642664,-0.613436634,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
9,agyeni,2012,Experimenta.txt,0.009045163,0.043113002,0.014983713,-1.047315975,-0.364957605,-0.140889567,-1.047315975,-0.364957605,-0.140889567,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
10,ahmad,2016,Investigation of the ef.txt,0.009939626,0.090096643,0.010184937,-0.984889729,1.030139261,-0.468701361,-0.984889729,1.030139261,-0.468701361,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
11,ahmadi,2016,Applying.txt,0.022951019,0.063689775,0.031209363,-0.076800626,0.246033591,0.967509507,-0.076800626,0.246033591,0.967509507,30583.53,3.31,980.753,4.617,1212720.149,12222.242,1.845,588641.324
12,ahmadi,2016,Thermodynamic anal.txt,0.032671302,0.093920884,0.006455083,0.601595833,1.143693392,-0.723493401,0.601595833,1.143693392,-0.723493401,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
13,ahmadi,2020,Portfolio optimization.txt,0.017460041,0.070972992,-0.01189886,-0.460026099,0.462295965,-1.977279486,-0.460026099,0.462295965,-1.977279486,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
14,ahmed,2018,Design methodology.txt,0.015024074,0.003374722,-0.010478801,-0.630036722,-1.544916206,-1.880273063,-0.630036722,-1.544916206,-1.880273063,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
15,Ajay,2009,simultaneous.txt,0.023908566,0.02999936,0.012695894,-0.009971695,-0.754344235,-0.297174049,-0.009971695,-0.754344235,-0.297174049,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
16,akyuz,2010,Energetic.txt,0.019554525,0.055879132,0.014011699,-0.313848243,0.01411024,-0.207289357,-0.313848243,0.01411024,-0.207289357,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
17,alamier,2020, Synthesi.txt,0.046721279,0.020763734,0.021812894,1.58216959,-1.028579968,0.325622257,1.58216959,-1.028579968,0.325622257,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
18,alayietal,2020,Energy.txt,0.016609582,0.07119721,0.008845326,-0.519381199,0.468953726,-0.560212228,-0.519381199,0.468953726,-0.560212228,36646.14,2.01,720.402,4.802,1625014.415,14718.145,1.929,759812.726
19,alayietal,2020,Technical and environmental.txt,0.028674468,0.095634846,0.020726652,0.322649382,1.194586505,0.251419408,0.322649382,1.194586505,0.251419408,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
20,aldali,2011,energetic.txt,0.020892665,0.05500599,0.011569134,-0.220456957,-0.011816178,-0.374144736,-0.220456957,-0.011816178,-0.374144736,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
21,aldali,2011,Solar absorber tube analysis.txt,0.009765382,0.019815722,0.008082768,-0.997050547,-1.056729531,-0.612303792,-0.997050547,-1.056729531,-0.612303792,31493.742,2.98,910.212,4.696,1244213.89,12811.338,1.91,601452.662
22,aleknaviciute,2012,Plasma assis.txt,0.043626243,0.083452953,0.027586207,1.366161373,0.832866543,0.720006153,1.366161373,0.832866543,0.720006153,32069.444,1.83,575.702,4.724,1276283.334,13234.705,1.949,614687.367
23,aleknaviviute,2016,Towards clean.txt,0.02441771,0.082623986,0.022820363,0.02556243,0.808251819,0.394444011,0.02556243,0.808251819,0.394444011,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
24,alexander,2013,solid sorption.txt,-0.004007556,0.048566583,0.034020363,-1.958289273,-0.203023088,1.159533224,-1.958289273,-0.203023088,1.159533224,35925.738,1.33,473.278,4.76,1588368.275,14453.702,1.915,745094.581
25,ali ahmadi,2016,Modeling solubility of carb.txt,0.030221952,0.082173354,0.030186871,0.430651171,0.794871095,0.897661526,0.430651171,0.794871095,0.897661526,35283.025,0.88,308.95,4.893,1445959.229,15042.88,2.086,686499.147
26,alkhalidi etal,2019,Energy efficient cooling.txt,0.033233321,0.070578483,0.028287591,0.64082018,0.450581712,0.767918746,0.64082018,0.450581712,0.767918746,35452.459,-0.12,-43.947,4.75,1552442.538,14360.628,1.924,730640.879
27,alkhalidi etal,2020,Using Wood.txt,0.059024801,0.044709043,0.017289348,2.440855088,-0.317565961,0.016611894,2.440855088,-0.317565961,0.016611894,34468.451,3.37,1125.151,4.895,1375702.128,14781.225,2.099,656506.57
28,alkhalidi,2020, Do green buildings.txt,-0.021767923,0.104043329,0.023000523,-3.197818012,1.444261658,0.406751014,,1.444261658,0.406751014,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
29,Allison,2014,thermal energy storage.txt,0.013885129,0.061190901,0.014100237,-0.709525788,0.171833908,-0.201241173,-0.709525788,0.171833908,-0.201241173,33343.3,5.49,1736.258,4.793,1341233.677,13970.832,2.008,641725.345
