,author,year,title,climate_damage_ratio,climate_conflict_ratio,climate_threat_ratio,adaptation_conflict_ratio,mitigation_damage_ratio,co2,co2_growth_prct,co2_growth_abs,co2_per_capita,cumulative_co2,coal_co2,coal_co2_per_capita,cumulative_coal_co2
0,fadeyibi etal,2020,Ecological.txt,0.226415094,0.924050633,0.757225434,0.636363636,-0.448275862,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
1,kilavuz and dogan,2020,Economic growt.txt,-0.258741259,0.909090909,0.111111111,0.739130435,0.747572816,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
2,reay,2015,Thermal energy storage.txt,0.825613079,0.622641509,0.545454545,0.333333333,-0.454545455,35496.406,-0.11,-38.037,4.81,1516990.078,14718.203,1.994,716280.251
3,zhong,2019,Technology.txt,-0.157894737,0.5,-0.36,0,-0.513513514,36702.503,0.15,56.363,4.758,1661716.918,14573.219,1.889,774385.946
4,wuetal,2020,Application.txt,-0.714285714,0.957446809,0.853658537,0.454545455,-0.161290323,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
5,Yuanlong etal,2020,heating systems for.txt,0.664646465,0.793103448,0.876160991,0.675675676,0.010309278,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
6,Khandelwal etal,2007,hybrid photovoltaic.txt,0.652173913,0.789473684,0.909090909,-0.125,-0.609756098,31493.742,2.98,910.212,4.696,1244213.89,12811.338,1.91,601452.662
7,Ge etal,2009,water absorption.txt,0.641666667,0.975609756,1,0.333333333,-0.25,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
8,esfahankalteh,2020,Achieving.txt,0.815384615,0.975903614,0.859649123,0.285714286,-0.1,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
9,An etal,2014,Efficiency of household.txt,0.346153846,0.942446043,0.950877193,1,0.6,35534.443,0.71,251.418,4.871,1481493.672,15062.902,2.065,701562.049
10,jouhara,2009,wraparound.txt,0.904328018,0.333333333,0.954415954,-0.714285714,-0.475409836,31607.042,-1.44,-462.402,4.599,1307890.377,13067.147,1.901,627754.514
11,Zisisetal,2006,heat.txt,0.655913978,0.969230769,0.739130435,-0.25,0.391304348,30583.53,3.31,980.753,4.617,1212720.149,12222.242,1.845,588641.324
12,hegazy and helmi,2020,Spatial monitorin.txt,-0.0625,1,0.945945946,-0.5,-0.142857143,34807.259,-5.16,-1895.244,4.465,1696524.177,13976.098,1.793,788362.044
13,chen etal,2012,lessons learnt from an operating analysis.txt,0.819095477,1,-0.582278481,0.487179487,-0.253968254,34974.075,1.47,505.624,4.908,1410676.204,14949.697,2.098,671456.267
