,author,year,title,climate-damage,weather-damage,climate-change,weather-change,mitigation-damage,climate-threat,adaptation-threat,adaptation-conflict,vader_zscore,big-small-ratio,climate-conflict,bio-loss
0,fadeyibi etal,2020,Ecological.txt,0.226415094,,-0.2,-1,-0.448275862,0.757225434,1,0.636363636,0.192495353,-1,0.924050633,-0.913043478
1,kilavuz and dogan,2020,Economic growt.txt,-0.258741259,0.2,1,1,0.747572816,0.111111111,1,0.739130435,0.51429128,-0.5,0.909090909,-1
2,reay,2015,Thermal energy storage.txt,0.825613079,-1,0.333333333,-1,-0.454545455,0.545454545,1,0.333333333,-0.332881839,0.6,0.622641509,-1
3,zhong,2019,Technology.txt,-0.157894737,,,,-0.513513514,-0.36,1,0,0.098989517,-1,0.5,-0.1
4,wuetal,2020,Application.txt,-0.714285714,-0.904761905,0.5,-0.833333333,-0.161290323,0.853658537,0.714285714,0.454545455,-1.32774505,-1,0.957446809,-0.297297297
5,Yuanlong etal,2020,heating systems for.txt,0.664646465,,,,0.010309278,0.876160991,1,0.675675676,-0.066594794,-0.741935484,0.793103448,-0.8
6,Khandelwal etal,2007,hybrid photovoltaic.txt,0.652173913,0,0.677419355,-0.25,-0.609756098,0.909090909,0.636363636,-0.125,-0.383247418,-1,0.789473684,0.37254902
7,Ge etal,2009,water absorption.txt,0.641666667,,-0.777777778,-1,-0.25,1,,0.333333333,-1.540632944,-1,0.975609756,-0.894736842
8,esfahankalteh,2020,Achieving.txt,0.815384615,1,-0.272727273,-0.866666667,-0.1,0.859649123,1,0.285714286,-1.299642664,-1,0.975903614,-0.714285714
9,An etal,2014,Efficiency of household.txt,0.346153846,-1,0.714285714,-1,0.6,0.950877193,0.833333333,1,-0.364957605,-0.777777778,0.942446043,-0.111111111
10,jouhara,2009,wraparound.txt,0.904328018,1,0.739130435,0.75,-0.475409836,0.954415954,1,-0.714285714,1.030139261,-1,0.333333333,-0.925925926
11,Zisisetal,2006,heat.txt,0.655913978,-0.666666667,-0.384615385,-0.636363636,0.391304348,0.739130435,-1,-0.25,0.246033591,-1,0.969230769,0.333333333
12,hegazy and helmi,2020,Spatial monitorin.txt,-0.0625,0,0.384615385,-0.777777778,-0.142857143,0.945945946,0.6,-0.5,1.143693392,-0.714285714,1,-1
13,chen etal,2012,lessons learnt from an operating analysis.txt,0.819095477,1,0.176470588,-0.166666667,-0.253968254,-0.582278481,1,0.487179487,0.462295965,-1,1,-0.818181818
14,gupta etal,2019,analysis of.txt,0.428571429,-0.882352941,-0.252525253,-0.968253968,-0.12195122,0.92,0.510204082,-0.25,-1.544916206,-1,0.987730061,-0.129032258
15,safira,2020,Thermal.txt,0.395833333,1,0.12,-0.833333333,0.384615385,0.658536585,1,0.777777778,-0.754344235,-0.739130435,0.924050633,-0.333333333
16,Varga etal,2009,cooling system.txt,0.76,,1,,0.353846154,0.789473684,1,0.80952381,0.01411024,-0.454545455,0.714285714,-0.6
17,liang and shi,2020,Efficiency evaluatio.txt,0.545454545,-0.333333333,0.2,-0.777777778,-0.3,0.04,1,1,-1.028579968,-1,0.950819672,-0.375
18,khoshbazan etal,2018,Thermo economic analy.txt,0.615384615,-1,0,-1,0.5,0.736842105,1,0.333333333,0.468953726,-1,0.833333333,-1
19,herdt etal,2016,Newly invented biobased.txt,-0.296296296,1,0.636363636,0.2,0.45,0.911111111,1,0.75,1.194586505,0.142857143,1,0.52173913
20,shen etal,2013,Simulating.txt,0.551282051,-1,-0.166666667,-1,0.111111111,0.943181818,0.6,0.238095238,-0.011816178,-0.6,0.958083832,0.179487179
21,Renzato etal,2007,system based on water.txt,0.936507937,,0.142857143,-1,-0.294117647,0.648351648,,0,-1.056729531,-1,0.957746479,-0.5
22,Rattanongphisat,2008,Thermal separation.txt,0.746341463,-1,0.6,-1,0.208333333,0.621621622,1,0.090909091,0.832866543,-1,0.898305085,-0.846153846
23,onyelowe,2019,Recycling.txt,-0.26618705,-1,-1,-1,0.068965517,0.633802817,1,0.5,0.808251819,-0.777777778,0.945945946,-0.333333333
24,hegazy etal,2017,Towards.txt,-0.073684211,-1,-0.538461538,-1,0.333333333,0.963414634,0.8,-0.6,-0.203023088,-0.909090909,0.905511811,0.666666667
25,victor,2013,loop heat.txt,0.739837398,-1,0.454545455,-1,-0.25,0.674418605,1,0.272727273,0.794871095,-0.846153846,0.8125,-0.166666667
26,elmer etal,2016,Experimental.txt,0.87202381,,-1,-1,0.025641026,0.799043062,-0.333333333,0.538461538,0.450581712,-1,0.984615385,0.393939394
27,wu etal,2011,Hydrogen.txt,0.328467153,-0.5,-0.333333333,-0.913043478,-0.173913043,0.557251908,0.44,0.166666667,-0.317565961,-0.647058824,0.777777778,0.694117647
28,xiao,2012,reactive.txt,-0.575757576,0.870967742,0.75,0.757575758,0,0.644067797,1,1,1.444261658,0,0.857142857,0.647058824
29,marchetti,2010,Production.txt,0.375,0.818181818,-0.034482759,0.142857143,-0.428571429,0.743589744,1,0.454545455,0.171833908,0,0.846153846,-0.777777778
30,li and zhang,2020,Ecological efficiency.txt,0.428571429,,-0.2,-1,-0.555555556,0.103448276,-1,0.333333333,-0.952543454,1,0.9140625,-0.75
31,graham etal,2012,Degradati.txt,-0.31147541,-0.333333333,-0.555555556,-0.75,-0.288888889,0,1,1,-0.760790591,-1,0.934747145,-0.703703704
