"Timestamp","Please rate your level of understanding in regards to current political situations in Nigeria.                                                  1= very little, 4= Moderate, 7=High","Please pick your age range","How do feel about Nigeria's political situation since the past 10 years?  To give us a full understanding of your situaton, please write as many words as possible. ","What do you value or enjoy most in your state or country? e.g your education, family, health, friends, etc.","How would you advise a future leader of your council, state, or country?","What do you think is the solution to the leadership problems in Nigeria?","In your opinion, do you think Nigeria's political leadership has been improving since the last 10 years?","What is your level of education?","In which state of Nigeria are you presently? e.g Kwara","What is your gender?"
"2022/01/13 2:40:42 AM GMT+1","6","Between 28 years or above","One of the worst forms of democracy ever witnessed in my entire existence is what is currently practised in Nigeria. The country is basically a ticking time bomb. ","Family","Get another passport and leave.","Re-colonisation. ","NO, it is getting worse","College or University","",""
"2022/01/13 2:59:56 AM GMT+1","5","Between 23 - 27 years","1. The youths are pushed back from any major role so old ideas which do not work anymore are being recycled
2. We have never really gained independence because international communities are comfortable with the crises since it benefits them
3. Monopoly of power, although common elsewhere is of topmost concern to its citizens.
4. Nothing has been done about the brutal killings of people in the North, up until some days ago where people were being burned alive and they made a video of it
5. If the people react to this injustice, they are killed or humiliated.

We do not have a country, hence politics are just mere words to me for now. The politics done is just mere feudalism","My family. The church. Friends.","A young person at most 45 and at least 35. Listen to the people, listen to the news not just your aides. Then serve them. Public favoritism has never favoured anyone, be empathetic. Choose excellence over 'na my person'. Be plain about the use of funds. Create an environment where businesses can thrive. Let every citizen benefit from the returns of natural resources. Let truth and fairness be the watchword of the force ","Monopoly
Selfishness and greed
Myopia","NO, it is getting worse","Masters","Oyo","Female"
"2022/01/13 3:40:05 AM GMT+1","3","Between 18 - 22 years","The political situation in Nigeria since the past 10 years has been in decaying, where violence and corruption has taken over. In the election process, votes are being rigged, ballot boxes are stolen and people are being payed to sabotage their future.","My families and friends","Do the best that you can give, be truthful, fulfilling your promises and be a leader that is worth emulating, the goal is to serve the people you are elected to rule not to serve yourself and your family alone.","Each leader should have the fear of God instill in them, and penalties should be given to leaders that failed to fulfill their mandate at the end of their tenure.","NO, it is getting worse","College or University","Ogbomosho","Female"
"2022/01/13 3:58:45 AM GMT+1","7","Between 28 years or above","There is no improvement in the political situation in Nigeria as we are rotating same set of leaders who are changing from party to party ","Family","To be God-fearing, incorruptible and just.","The solution is to be blessed with God-fearing leaders who could change Mal situations from the top down to the base of Mal situations within the followers","NO, it is getting worse","College or University","Kwara state","Male"
"2022/01/13 4:02:25 AM GMT+1","6","Between 28 years or above","Unfair and Injustice","Family","Eradicate and restore all the political post","Aforetyped","NO, it is getting worse","College or University","Kwara","Male"
"2022/01/13 5:38:42 AM GMT+1","3","Between 28 years or above","Feel unhappy ","Family ","They should be honest and not to be selfish ","Honest leader","NO, it is getting worse","College or University","Kwara","Male"
"2022/01/13 6:04:00 AM GMT+1","4","Between 28 years or above","The political situation in Nigeria is becoming worsen in the last 10years and it kept worsening as one can't predict what is forthcoming. Different unimaginable policy and adversity resulting to poor economy and threatening security across various regions.","The enjoyment in education, health and other aspects in Nigeria are declining and this become less enjoyable. However, the Family and friends seems to be fair","The future leaders should take cognizant of economy improvement and be more sensitive and active in recorporating the security stability and good governance","An improved electioneering system should be adopted to ensure more credibility in vote cast in order to elect a charismatic, patriotic leaders with leader good leadership qualities.","It is the same","College or University","Kwara","Male"
"2022/01/13 6:18:44 AM GMT+1","1","Between 28 years or above","Insecurity, unemployment and poor economic ","Family ","To provide maximum security, To solve unemployment problem and improve  our economic ","To fulfill their promises ","It is the same","College or University","Oyo state","Male"
"2022/01/13 7:02:07 AM GMT+1","4","Between 18 - 22 years","Nigeria political is full of lack of rule of law and other, to the fact that so many of Nigeria politicians are after the wealth of the nation , they are net ready to serve and pleased the citizens of the nation , is very painful for the past 10 years of Nigeria democratic 
policies, Nigeria is not a developed country but developing. So all Nigeria politicians are after them self , not the nation. 
Thanks you ","Family ","My advise for him/her is to fear God because we will all go back to the creator. They should be doing good 😌 and listen to the citizens ","We apply the rules of substitution method ","NO, it is getting worse","College or University","Oyo","Male"
"2022/01/13 7:06:15 AM GMT+1","4","Between 28 years or above","It's full of challenges like Vast corruption, Insecurity, Economic malaise","Education","To be keeping his/her word, building others up at every opportunity, standing up for what is right and acting in congruence with team values. ","By allowing youth into the system","YES, it is getting better","College or University","Oyo","Male"
